Codigo_Item_Negativo;Descricao_Item_Negativo;NCM;Saldo_Loja1;Saldo_Loja2_Deposito;Saldo_Loja3_CD;Deficit_Pecas;Status_Cobertura;Saldo_Total_Disponivel_NCM;Doador1_Codigo;Doador1_Descricao;Doador1_Saldo_Total;Doador1_Loja1;Doador1_Loja2;Doador1_Loja3;Doador2_Codigo;Doador2_Descricao;Doador2_Saldo_Total;Doador2_Loja1;Doador2_Loja2;Doador2_Loja3;Doador3_Codigo;Doador3_Descricao;Doador3_Saldo_Total;Doador3_Loja1;Doador3_Loja2;Doador3_Loja3
"15667";"NBA12455 BRINCO DE METAL 4 PCT 48 UND";"71171900";-20,00;0,00;0,00;20,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15669";"ICA15080 COLAR DE METAL";"71171900";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15671";"KCA16385 COLAR E BRINCO COM JUNTO DE METAL 2 PCT 24 UND";"71171900";-8,00;0,00;0,00;8,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15672";"FCA67340 COLAR E BRINCO COM JUNTO DE METAL";"71171900";-7,00;0,00;0,00;7,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15673";"GBD32032 BRINCO DE METAL";"71179000";-8,00;0,00;0,00;8,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15674";"HBA23015 BRINCO DE METAL 12 CTL POR DUZIA";"71179000";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15675";"JBA12310 BRINCO DE METAL";"71171900";-13,00;0,00;0,00;13,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15677";"HBA24048 BRINCO DE METAL";"71179000";-9,00;0,00;0,00;9,00;"COBERTURA_TOTAL";119.509,00;"31457";"64800 BRANCELETE";3.422,00;1.158,00;0,00;2.264,00;"29336";"BIJUTERIA MATRIZ 71179000";2.356,00;2.356,00;0,00;0,00;"30307";"ARTIGOS P/CABELO - NCM71179000 - MATRIZ";1.804,00;803,00;0,00;1.001,00
"15679";"HCA13673 COLAR DE METAL";"71171900";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15682";"QBA14855 BRINCO DE METAL";"71171900";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
