Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16663;C1070 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16666;C818 CARTEIRA DE POLIURETANO;UN;42023200;42,00;0,00;0,00;1,00;10,50;42,00;441,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16667;C825 CARTEIRA DE POLIURETANO;UN;42023200;30,00;0,00;0,00;1,00;10,50;30,00;315,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16669;C822 CARTEIRA DE POLIURETANO;UN;42023200;30,00;0,00;0,00;1,00;10,50;30,00;315,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16670;C1072 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;45,00;60,00;675,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16671;C1074 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16672;C1081 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16674;C1078 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16679;OI-0222 - SUPORTE DE POLYESTER PARA USO DOMESTICO;UN;63079090;30,00;0,00;0,00;0,87;8,00;26,10;240,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16686;C1152 BOLSA EM MATERIAL PU;UN;42022210;15,00;0,00;0,00;5,70;61,00;85,50;915,00
