Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;1;***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY;UN;85423120;-29,00;0,00;0,00;11,90;0,00;-345,10;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;2;***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY;UN;85423120;-1,00;0,00;0,00;0,00;1,00;0,00;-1,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;3;***SSD 240GB GOLDENTEC SATA;UN;84717040;10,00;0,00;0,00;80,00;3,00;800,00;30,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;5;***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY;UN;85423120;-9,00;0,00;0,00;3,00;3,00;-27,00;-27,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;7;***IMP TERMICA GT USB ETHERNET;UN;84433299;14,00;0,00;0,00;372,00;0,00;5208,00;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;8;***MODULO FISCAL ELET MFE TANCA CFE TM1000+;UN;84718000;13,00;0,00;0,00;500,00;0,00;6500,00;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;9;***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY;UN;85423120;13,00;0,00;0,00;6,33;0,00;82,29;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;10;***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY;UN;85423120;10,00;0,00;0,00;149,00;100,00;1490,00;1000,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;13;***TEC USB GT SLIM GT950 PRETO;UN;84716052;17,00;0,00;0,00;24,93;0,00;423,81;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;14;***GAB GT S F P1T1C GTM11 PRETO;UN;84733011;11,00;0,00;0,00;113,92;0,00;1253,12;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;15;***COOLER CPU GT 1150 1151 1155 1156 3;UN;84733090;11,00;0,00;0,00;30,61;0,00;336,71;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;16;***MON 21 5 60HZ HD GOLDENTEC;UN;85285200;5,00;0,00;0,00;428,58;0,00;2142,90;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;17;***MOUSE GT OPTICO 1200 PRETO;UN;84716053;19,00;0,00;0,00;5,00;0,00;95,00;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;18;***PLACA S1150 H81 DDR3 GT BULK;UN;84733041;11,00;0,00;0,00;271,78;0,00;2989,58;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;19;***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY;UN;85423120;1,00;0,00;0,00;306,86;0,00;306,86;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;20;***FONTE 230W ATX BC BULK;UN;85044021;11,00;0,00;0,00;72,70;0,00;799,70;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;21;***MON 21 5 60HZ HD GOLDENTEC;UN;85285200;8,00;0,00;0,00;482,26;0,00;3858,08;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;22;***LEITOR COD BARRAS USB 1D GT;UN;84719012;6,00;0,00;0,00;140,23;0,00;841,38;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;23;6106 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO;UN;42022210;6,00;0,00;0,00;1,32;104,00;7,92;624,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;24;6124 - BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL 100% POLIESTER;UN;42022210;11,00;0,00;0,00;1,83;96,00;20,13;1056,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;26;0831 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE;UN;42022210;47,00;0,00;0,00;1,36;120,00;63,92;5640,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;27;0605 - BOLSA DE PLASTICO (PU) SEM MARCA ACONDICIONADAS EM CAIXAS COM 60 PECAS;UN;42022210;56,00;0,00;0,00;1,00;96,00;56,00;5376,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;28;0604 - BOLSA DE PLASTICO (PU) SEM MARCA ACONDICIONADAS EM CAIXAS COM 60 PECAS;UN;42022210;-2,00;0,00;0,00;19,20;96,00;-38,40;-192,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;29;06020- BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO;UN;42022210;600,00;0,00;0,00;1,40;0,00;840,00;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;30;F0017 - BOLSA DE PLASTICO SEM MARCA ACONDICIONADAS EM CAIXAS COM 84 PECAS;UN;42022210;7,00;0,00;0,00;1,28;120,00;8,96;840,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;31;06019 - BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO;UN;42022210;-6,00;0,00;0,00;8,40;56,00;-50,40;-336,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;32;6020 - BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO;UN;42022210;23,00;0,00;0,00;0,94;56,00;21,62;1288,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;33;6037 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO;UN;42022210;3,00;0,00;0,00;1,40;104,00;4,20;312,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;34;F002 - BOLSA DE PLASTICO SEM MARCA ACONDICIONADAS EM CAIXAS COM 48 PECAS;UN;42022210;14,00;0,00;0,00;1,17;104,00;16,38;1456,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;35;06033 - BOLSA DE PLCSTICO SEM MARCA ACONDICIONADO EM CAIXAS COM 15;UN;42022210;65,00;0,00;0,00;0,89;104,00;57,85;6760,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;36;EROO A FEMININA MATERIAL PLASTICO PU;UN;42022210;24,00;0,00;0,00;1,23;104,00;29,52;2496,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;37;0840 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER MATERIAL PLASTICO;UN;42022210;48,00;0,00;0,00;0,97;104,00;46,56;4992,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;38;6036 - BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL PU;UN;42029200;22,00;0,00;0,00;1,17;104,00;25,74;2288,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;39;0082 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER;UN;42022210;117,00;0,00;0,00;10,19;88,00;1192,23;10296,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;40;6030 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO;UN;42022210;3,00;0,00;0,00;1,40;104,00;4,20;312,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;41;06052 - BOLSA FEMININA MATERIAL PLASTICO PU;UN;42022210;-1,00;0,00;0,00;1,10;120,00;-1,10;-120,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;43;F0006 - BOLSA RED ROSA;UN;42022210;2,00;0,00;0,00;1,51;128,00;3,02;256,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;45;6133 - BOLSA PEQUENA FEMININA CONSTITUIDA EXTERNAMENTE DE MATERIAL PLASTICO;UN;42022210;3,00;0,00;0,00;1,32;120,00;3,96;360,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;46;0025 - BOLSA FEMININA MATERIAL PLASTICO PU;UN;42022210;-2,00;0,00;0,00;16,80;112,00;-33,60;-224,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;47;2462 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER;UN;42022210;5,00;0,00;0,00;2,37;56,00;11,85;280,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;48;2461 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER;UN;42022210;14,00;0,00;0,00;0,90;56,00;12,60;784,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;49;6165 - BOLSA DE OMBRO FEMININA MATERIAL PU COM DIVERSOS COMPARTIMENTOS;UN;42029200;10,00;0,00;0,00;1,82;120,00;18,20;1200,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;51;2410 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER 2;UN;42022210;76,00;0,00;0,00;1,03;128,00;78,28;9728,00
