Codigo;Descricao;EMB;NCM;Saldo_Loja_1;Saldo_Loja_2_Deposito;Saldo_Loja_3_CD;Saldo_Total;Custo_Unit;Preco_Unit;Valor_Estoque_Total
"32302";"GC-0269 GUARDA-CHUVA CEREJA GC-0269";"UN";"66019190";193,00;0,00;0,00;193,00;1,00;25,00;193,00
"32303";"TL-010 TOALHA CACHORRO CEREJA TL-010";"UN";"63029300";228,00;0,00;0,00;228,00;1,00;14,00;228,00
"32304";"TL-011 TOALHA CEREJA TL-011";"UN";"63029300";286,00;0,00;0,00;286,00;1,00;14,00;286,00
"32305";"GC-0686 GUARDA-CHUVA FRUITGRID GC-0686";"UN";"66019190";78,00;0,00;0,00;78,00;1,00;25,00;78,00
"32322";"CP018 BANDEIRA P/CARRO 30X40CM";"UN";"63079090";366,00;0,00;0,00;366,00;1,00;4,00;366,00
"32323";"6335 DIFUSOR TROPICAL 250 ML - MELANCIA";"UN";"33029019";17,00;0,00;1,00;18,00;71,82;13,00;1.292,76
"32324";"CP030 CORNETA DE PLASTICO TRIPLA";"UN";"95030099";250,00;0,00;0,00;250,00;1,00;5,00;250,00
"32325";"433 ODORIZADOR DE TECIDOS TA 500 ML - LAVANDA";"UN";"33029019";52,00;0,00;0,00;52,00;7,85;17,50;408,20
"32326";"CP031 CORNETA DE PLASTICO TRIPLA";"UN";"95030099";291,00;0,00;0,00;291,00;1,00;9,00;291,00
"32327";"436 ODORIZADOR DE TECIDOS TA 500 ML - FLOR DE CEREJEIRA";"UN";"33029019";43,00;0,00;0,00;43,00;7,85;17,50;337,55
"32328";"CP016 BANDEIRA POLIESTER 90X150CM";"UN";"95059000";203,00;0,00;0,00;203,00;1,00;13,99;203,00
"32329";"CP015 BANDEIRA POLIESTER 60X90CM";"UN";"95059000";301,00;0,00;0,00;301,00;1,00;7,00;301,00
"32330";"CP021 BANDEIROLA POLI 15B 600X20X28CM";"UN";"63079090";357,00;0,00;0,00;357,00;1,00;13,99;357,00
"32331";"CP038 CORNETA DE PLASTICO";"UN";"95030099";77,00;0,00;0,00;77,00;1,00;14,00;77,00
"32332";"71166 AGUA DE PASSAR 500 ML - CONFORTO";"UN";"33029019";31,00;0,00;2,00;33,00;7,85;17,50;259,05
"32334";"5934666 AGUA DE PASSAR 500 ML - SOFT";"UN";"33029019";31,00;0,00;0,00;31,00;117,71;17,50;3.649,01
"32335";"5934675 ODORIZADOR DE TECIDOS TA 500 ML - SUMMER";"UN";"33029019";39,00;0,00;16,00;55,00;7,85;17,50;431,75
"32337";"5935598 DIFUSOR TROPICAL BABY 250 ML - NUVEM";"UN";"33029019";19,00;0,00;48,00;67,00;5,98;13,00;400,66
"32338";"6045 DIFUSOR TROPICAL 250 ML - BAMBU";"UN";"33029019";38,00;0,00;24,00;62,00;5,98;13,00;370,76
"32339";"6046 DIFUSOR TROPICAL 250 ML - ORQUIDEA AZUL";"UN";"33029019";23,00;0,00;13,00;36,00;5,98;13,00;215,28
"32340";"6047 DIFUSOR TROPICAL 250 ML - FLOR DE CEREJEIRA";"UN";"33029019";10,00;0,00;4,00;14,00;71,82;13,00;1.005,48
"32341";"6048 DIFUSOR TROPICAL 250 ML - FLOR DE LARANJEIRA";"UN";"33029019";57,00;0,00;0,00;57,00;5,98;13,00;340,86
"32342";"6050 DIFUSOR TROPICAL 250 ML - CRAVO E CANELA";"UN";"33029019";26,00;0,00;13,00;39,00;5,98;13,00;233,22
"32343";"6053 DIFUSOR TROPICAL 250 ML - VANILLA";"UN";"33029019";42,00;0,00;24,00;66,00;5,98;13,00;394,68
"32345";"6104 DIFUSOR TROPICAL 250 ML - ADVENTURE";"UN";"33029019";50,00;0,00;24,00;74,00;5,98;13,00;442,52
"32346";"LCW-NNP106 SACO HIGIENICO PARA PET EM ROLOS";"UN";"39232110";45,00;0,00;306,00;351,00;0,59;5,00;207,09
"32347";"LCW-YYF20-S ROUPA PARA CAES";"UN";"42010090";58,00;0,00;360,00;418,00;1,04;15,00;434,72
"32350";"BM-F1738 DESCANSO DE MESA REDONDO - BAMBU - TAMANHO: 18CM*18CM*10MM";"UN";"94039100";43,00;0,00;0,00;43,00;1,00;13,00;43,00
"32351";"BM-F1739 DESCANSO DE MESA QUADRADO - BAMBU -TAMANHO: 18CM*18CM*10MM";"UN";"94039100";44,00;0,00;0,00;44,00;1,00;13,50;44,00
"32401";"BM-F1746 MINI VENTILADOR PORTATIL - TENSAO: DC 5V/1A - POTENCIA: 3W";"UN";"84145990";35,00;0,00;21,00;56,00;1,76;29,99;98,56
"32403";"BM-F1253 LIXEIRA INOX 5L - COM ALCA PARA TRANSPORTE";"UN";"73239300";9,00;0,00;0,00;9,00;1,00;74,00;9,00
"32406";"BP-6008 MINI MIXER ELETRICO- TENSAO: DC 7.4V + 0.25V - POTENCIA: 50W";"UN";"85098090";27,00;0,00;0,00;27,00;1,00;85,00;27,00
"32407";"MSY-9998 TAPETE BATERIA ELETRONICA COM 9 PADS SENSIVEIS AO TOQUE - TENSAO: DC 5V";"UN";"92079090";6,00;0,00;0,00;6,00;22,44;265,00;134,64
"32409";"CW2216 - CASINHAS COLORIDAS PARA PET COM ALMOFADA - MEDIA";"UN";"63079090";5,00;0,00;50,00;55,00;58,33;105,00;3.208,15
"32410";"BMG-84 SUPORTE DE PLASTICO PARA CELULAR UNIVERSAL (MOTOCICLETA)";"UN";"39269090";29,00;0,00;2,00;31,00;1,26;22,00;39,06
"32411";"BP-6007 MINI ESPREMEDOR ELETRICO  - TENSAO: DC 7.4V + 0.25V - POTENCIA: 50W";"UN";"85098090";2,00;0,00;0,00;2,00;1,00;85,00;2,00
"32412";"BM362899 PORTA PERFUME VIDRO 50ML";"UN";"96161000";15,00;0,00;100,00;115,00;4,70;28,00;540,50
"32420";"JY30007 FLOR ARTIFICIAL DECORATIVA  10X45CM";"UN";"67021000";2,00;0,00;0,00;2,00;1,33;6,00;2,66
"32421";"JY30008 FLOR ARTIFICIAL DECORATIVA TAMANHO: 45X35CM";"UN";"67029000";4,00;0,00;0,00;4,00;0,62;2,50;2,48
"32423";"JY30014 FLOR ARTIFICIAL TAMANHO: 17X40CM";"UN";"67021000";44,00;0,00;0,00;44,00;3,12;13,50;137,28
"32425";"CW2216 - CASINHAS COLORIDAS PARA PET COM ALMOFADA - PEQUENO";"UN";"63079090";6,00;0,00;50,00;56,00;47,22;85,00;2.644,32
"32426";"CW2217 -CAMA PARA PET - MEDIO";"UN";"63079090";3,00;0,00;71,00;74,00;49,99;89,99;3.699,26
"32427";"CW2217 -CAMA PARA PET - PEQUENO";"UN";"63079090";4,00;0,00;71,00;75,00;41,67;75,00;3.125,25
"32428";"WC411009 FRASCO DE VIDRO C TAMPA 200ML R-28";"UN";"70139900";41,00;0,00;48,00;89,00;2,33;14,00;207,37
"32429";"WC-411055 FRASCO DE VIDRO FTY VALVULA DOSADORA CREME 10ML R20";"UN";"96161000";24,00;0,00;192,00;216,00;0,90;5,50;194,40
"32431";"WC-411061 FRASCO FTY VALVULA DOSADORA CREME 45ML R20";"UN";"96161000";15,00;0,00;71,00;86,00;1,95;11,50;167,70
