Codigo;Descricao;NCM;Loja_Origem;Loja_Destino;Qtd_Transferir;Custo_Unit;Valor_Transferencia;Saldo_Origem_Antes;Saldo_Origem_Depois;Saldo_Destino_Antes;Saldo_Destino_Depois
"33539";"3856 GELELÉ SLIME POTE 110G 4X24 BRILHA ESCURO CORES SURPRES";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";9,00;5,82;52,38;48,00;39,00;-9,00;0,00
"33540";"3210 GELELÉ SLIME POTE 152G 4X24 COLOR";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;5,56;5,56;24,00;23,00;-1,00;0,00
"33542";"3209 GELELÉ SLIME POTE 152G 4X24 TRADICIONAL";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";4,00;5,06;20,24;12,00;8,00;-4,00;0,00
"33576";"BOM-4506 LANTERNA LED RECARREGAVEL COM BASE MAGNETICA";"85131090";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;6,97;6,97;25,00;24,00;-1,00;0,00
"33581";"RIPADOS";"39189000";"Loja 3 (CD)";"Loja 1 (Loja)";770,00;6,97;5.366,90;770,00;0,00;-770,00;0,00
"33582";"TL ROLO ADESIVO DE DECORACAO  1.2 X 3M";"39189000";"Loja 3 (CD)";"Loja 1 (Loja)";156,00;10,36;1.616,16;2.112,00;1.956,00;-156,00;0,00
"33589";"2750 QUAL E A PALAVRA? UNICA|";"95030080";"Loja 3 (CD)";"Loja 1 (Loja)";4,00;25,33;101,32;4,00;0,00;-4,00;0,00
"33591";"2800 BATALHA NAVAL UNICA|";"95030080";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;20,78;41,56;5,00;3,00;-2,00;0,00
"33612";"811076 MINI QUEBRA-CABECA - DISNEY PRINCESA- MADEIRA UNICA";"95030070";"Loja 3 (CD)";"Loja 1 (Loja)";10,00;3,05;30,50;12,00;2,00;-10,00;0,00
"33619";"3581 OVO SURPRESA 98G 4X18 INSETOS PEGAJOSOS";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;6,27;37,62;72,00;66,00;-6,00;0,00
"33621";"4114 SLIME CLEAR CHARMS 122G 4X12 TESOURO MARINHO";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;9,15;45,75;24,00;19,00;-5,00;0,00
"33627";"4132 STIICA E PULA AIR CLAY 20G 4X15 STITCH";"95030080";"Loja 3 (CD)";"Loja 1 (Loja)";9,00;7,02;63,18;30,00;21,00;-9,00;0,00
"33630";"TRC0131 - GANCHO ADESIVO 2000 PCS";"83025000";"Loja 3 (CD)";"Loja 1 (Loja)";29,00;0,18;5,22;2.000,00;1.971,00;-29,00;0,00
