Codigo;qtd
19639;500
19643;1
19649;96
19712;135
19717;135
19720;135
19724;135
19725;135
19746;50
19889;13
19904;103
19907;50
19908;6
19909;100
19911;60
19916;8
20228;57
20400;500
20440;15
20632;300
20739;18
20741;13
20758;50
20850;6000
20851;50
20893;6
20936;172
20941;60
20943;49
21045;200
21049;176
21050;45
21051;45
21052;85
21063;6
21065;45
21067;50
21070;1
21098;75
21122;1
21163;239
21192;15
21238;15
21244;1
21255;5
21271;120
21272;150
21273;70
21280;6
21287;47
21288;22
21289;19
21290;1
21291;1
21313;30
21318;8
21319;28
21320;6
21327;10
21328;15
21330;1
21457;1
21463;2
21465;1
21467;2
21470;1
21472;2
21474;2
21475;2
21487;150
21494;90
21497;150
21500;150
21504;150
21506;30
21507;150
21511;30
21512;150
21514;150
21515;150
21517;90
21519;90
21520;62
21521;30
21522;4
21523;2
21526;30
21528;80
21538;192
21539;1
21540;214
21541;25
21542;30
21543;24
21544;162
21546;10
21547;15
21548;72
21557;14
21558;120
21565;50
21568;20
21573;2
21577;16
21579;55
21580;50
21586;28
21588;54
21592;70
21610;100
21618;8
21646;128
21647;110
21649;55
21651;65
21654;25
21656;1
21658;44
21661;14
21664;414
21666;110
21668;167
21670;48
21672;110
21676;110
21677;157
21680;110
21682;182
21684;55
21686;55
21688;110
21690;20
21692;20
21695;20
21697;5
21698;20
21699;20
21706;20
21707;20
21708;13
21709;20
21710;20
21712;12
21714;50
21718;20
21721;20
21736;50
21738;50
21740;50
21741;15
21743;36
21750;18
21753;36
21754;24
21755;9
21759;250
21761;220
21763;20
21765;45
21767;30
21768;18
21773;40
21776;60
21794;36
21799;6
21801;5
21803;1
21820;1
21822;60
21827;24
21831;130
21851;400
21853;66
21854;50
21855;24
21858;30
21862;25
21871;2
21872;1
21873;1
21885;80
21893;40
21897;40
21901;6
21904;16
21907;20
21908;6
21910;14
21912;1
21916;12
21918;3
21923;12
21935;180
21948;20
21951;24
21952;1
21969;29
22132;60
22142;12
22146;12
22147;3
22153;5
22154;5
22155;12
22156;15
22157;12
22158;12
22164;12
22165;60
22166;15
22167;30
22169;12
22170;12
22171;12
22172;15
22173;30
22174;15
22178;12
22179;78
22180;78
22181;12
22182;12
22183;12
22186;12
22187;12
22188;12
22247;36
22387;5240
22434;144
22437;33
22441;33
22442;192
22446;4
22587;2
22588;50
22591;50
22595;50
22603;2
22612;3
22613;5
22622;26
22627;20
22628;1
22630;21
22633;1
22634;36
22635;30
22638;1
22640;450
22641;1
22648;6
22693;150
22695;12
22698;12
22701;2
22702;12
22705;15
22707;25
22714;12
22716;6
22717;12
22718;12
22720;12
22721;12
22734;12
22752;12
22769;12
22772;12
22775;200
22818;60
22821;2
22826;5
22829;48
22844;5
22879;614
22893;120
22966;5
22986;1
22988;25
22989;1
23015;8
23143;30
23155;144
23158;12
23159;3
23213;80
23259;207
23266;158
23267;560
23316;84
23322;12
23354;32
23356;3
23423;42
23510;80
23645;1
23688;100
23690;100
23693;30
23694;10
23695;9
23696;8
23697;22
23699;30
23700;18
23701;13
23702;22
23707;3
23708;30
23709;30
23710;80
23755;17
23776;400
23777;150
23779;50
23780;108
23782;30
23830;4
23832;30
23833;100
23834;100
23835;60
23836;100
23837;100
23842;125
23977;8
23980;10
23982;5
23995;30
24014;120
24015;20
24021;20
24022;10
24037;4
24040;50
24042;72
24043;30
24047;1
24050;1
24093;39
24094;39
24101;24
24145;1
24147;100
24149;1
24151;170
24156;1
24158;49
24160;1
24316;12
24588;44
24605;1
24639;1380
24696;550
24816;40
24819;60
24822;60
24823;42
24824;60
24826;60
24828;60
24830;60
24835;50
24845;30
24854;22
24857;30
24868;50
24916;50
24927;20
24933;1
24936;25
24937;25
24938;25
24939;25
24940;180
24941;170
24944;10
24946;50
24947;30
24951;51
24953;80
24958;50
24959;10
24980;49
24981;25
25142;30
25155;30
25158;30
25166;12
25176;2
25193;50
25215;24
25216;100
25217;24
25220;24
25221;1
25224;30
25225;24
25227;120
25228;50
